run_id,case,idx,rm,dt,T,dT,Gexp,Gimpl
,Random,189,1,0,-67,-113,0,0
,Random,190,1,0,-44,83,0,0
,Random,191,1,0,123,-52,80,80
,Random,192,1,0,-119,-102,0,0
,Random,193,1,0,40,82,0,0
,Random,194,1,0,-74,-14,100,100
,Random,195,1,0,-115,-70,100,100
,Random,196,1,0,-31,26,30,30
,Random,197,1,0,36,8,29,29
,Random,198,1,0,-70,-28,100,100
,Random,199,1,0,-103,-106,0,0
,Random,200,1,0,-91,25,30,30
,Random,201,1,0,-68,79,0,0
,Random,202,1,0,52,-114,0,0
,Random,203,1,0,2,10,40,40
,Random,204,1,0,24,-97,80,80
,Random,205,1,0,-27,-118,0,0
,Random,206,1,0,90,55,0,0
,Random,207,1,0,108,-32,80,80
,Random,208,1,0,111,110,0,0
,Random,209,1,0,-94,-58,100,100
,Random,210,1,0,-22,-50,100,100
,Random,211,1,0,-30,97,0,0
,Random,212,1,0,-91,-27,100,100
,Random,213,1,0,-38,-74,100,100
,Random,214,1,0,54,-34,80,80
,Random,215,1,0,-62,95,0,0
,Random,216,1,0,-21,-8,69,69
,Random,217,1,0,1,21,48,48
,Random,218,1,0,-44,69,0,0
,Random,219,1,0,-55,36,30,30
,Random,220,1,0,19,-22,80,80
,Random,221,1,0,94,-113,0,0
,Random,222,1,0,125,-10,80,80
,Random,223,1,0,-103,16,30,30
,Random,224,1,0,11,-23,66,66
,Random,225,1,0,35,-43,80,80
,Random,226,1,0,106,59,0,0
,Random,227,1,0,-44,117,0,0
,Random,228,1,0,108,-60,80,80
,Random,229,1,0,-92,-76,100,100
,Random,230,1,0,-50,-49,100,100
,Random,231,1,0,66,-80,80,80
,Random,232,1,0,98,110,0,0
,Random,233,1,0,-21,-114,0,0
,Random,234,1,0,-51,-36,100,100
,Random,235,1,0,112,-18,80,80
,Random,236,1,0,94,112,0,0
,Random,237,1,0,-125,-14,100,100
,Random,238,1,0,50,-50,80,80
,Random,239,1,0,105,70,0,0
,Random,240,1,0,-101,125,0,0
,Random,241,1,0,108,124,0,0
,Random,242,1,0,82,-116,0,0
,Random,243,1,0,17,110,0,0
,Random,244,1,0,-18,-23,100,100
,Random,245,1,0,8,-9,59,59
,Random,246,1,0,-34,5,50,50
,Random,247,1,0,-116,-27,100,100
,Random,248,1,0,9,102,0,0
,Random,249,1,0,30,-82,80,80
,Random,250,1,0,-59,-75,100,100
,Random,251,1,0,-98,74,0,0
,Random,252,1,0,-3,-127,0,0
,Random,253,1,0,83,-22,80,80
,Random,254,1,0,-23,83,0,0
,Random,255,1,0,-90,69,0,0
,Random,256,1,0,-9,-6,53,53
,Random,257,1,0,93,-71,80,80
,Random,258,1,0,55,-114,0,0
,Random,259,1,0,-85,-20,100,100
,Random,260,1,0,-103,-106,0,0
,Random,261,1,0,40,111,0,0
,Random,262,1,0,-32,19,30,30
,Random,263,1,0,122,60,0,0
,Random,264,1,0,10,22,27,27
,Random,265,1,0,-51,115,0,0
,Random,266,1,0,-93,121,0,0
,Random,267,1,0,56,-75,80,80
,Random,268,1,0,-28,-90,100,100
,Random,269,1,0,-70,71,0,0
,Random,270,1,0,69,-37,80,80
,Random,271,1,0,-19,9,37,37
,Random,272,1,0,4,95,0,0
,Random,273,1,0,22,-110,0,0
,Random,274,1,0,-106,-26,100,100
,Random,275,1,0,12,-72,68,68
,Random,276,1,0,81,-113,0,0
,Random,277,1,0,8,120,0,0
,Random,278,1,0,-75,-63,100,100
,Random,279,1,0,125,35,0,0
,Random,280,1,0,-121,-34,100,100
,Random,281,1,0,-118,52,30,30
,Random,282,1,0,9,35,30,30
,Random,283,1,0,45,45,0,0
,Random,284,1,0,-99,-113,0,0
,Random,285,1,0,-14,63,0,0
,Random,286,1,0,27,34,0,0
,Random,287,1,0,-61,-12,100,100
,Random,288,1,0,-93,33,30,30
,Random,289,1,0,51,-70,80,80
,Random,290,1,0,126,-5,50,50
,Random,291,1,0,-126,18,30,30
,Random,292,1,0,92,44,0,0
,Random,293,1,0,-66,-116,0,0
,Random,294,1,0,112,109,0,0
,Random,295,1,0,-67,-45,100,100
,Random,296,1,0,-10,-59,73,73
,Random,297,1,0,125,10,0,0
,Random,298,1,0,-51,37,30,30
,Random,299,1,0,-16,-105,0,0
,Random,300,1,0,38,82,0,0
,Random,301,1,0,-56,123,0,0
,Random,302,1,0,-45,-53,100,100
,Random,303,1,0,-78,-77,100,100
,Random,304,1,0,-99,-60,100,100
,Random,305,1,0,-43,-65,100,100
,Random,306,1,0,-45,6,48,48
,Random,307,1,0,-128,5,0,0
,Random,308,1,0,-17,126,0,0
,Random,309,1,0,-88,127,0,0
,Random,310,1,0,65,-24,80,80
,Random,311,1,0,15,-125,0,0
,Random,312,1,0,-47,72,0,0
,Random,313,1,0,-74,17,30,30
,Random,314,1,0,-96,114,0,0
,Random,315,1,0,5,14,37,37
,Random,316,1,0,68,-12,80,80
,Random,317,1,0,19,83,0,0
,Random,318,1,0,-47,109,0,0
,Random,319,1,0,112,107,0,0
,Random,320,1,0,113,-50,80,80
,Random,321,1,0,124,43,0,0
,Random,322,1,0,44,-62,80,80
,Random,323,1,0,71,26,0,0
,Random,324,1,0,24,57,0,0
,Random,325,1,0,-3,-37,55,55
,Random,326,1,0,3,-40,53,53
,Random,327,1,0,0,-90,50,50
,Random,328,1,0,105,-64,80,80
,Random,329,1,0,54,-18,80,80
,Random,330,1,0,-86,-46,100,100
,Random,331,1,0,117,-78,80,80
,Random,332,1,0,111,25,0,0
,Random,333,1,0,46,29,0,0
,Random,334,1,0,-89,-99,100,100
,Random,335,1,0,-109,112,0,0
,Random,336,1,0,119,-106,0,0
,Random,337,1,0,-46,-17,100,100
,Random,338,1,0,-47,89,0,0
,Random,339,1,0,-113,-120,0,0
,Random,340,1,0,-78,-25,100,100
,Random,341,1,0,31,27,0,0
,Random,342,1,0,-118,26,30,30
,Random,343,1,0,-79,-81,100,100
,Random,344,1,0,-100,-80,100,100
,Random,345,1,0,12,124,0,0
,Random,346,1,0,-80,-38,100,100
,Random,347,1,0,-58,20,30,30
,Random,348,1,0,30,83,0,0
,Random,349,1,0,7,14,34,34
,Random,350,1,0,98,16,0,0
,Random,351,1,0,96,-54,80,80
,Random,352,1,0,-28,-98,100,100
,Random,353,1,0,-1,-104,0,0
,Random,354,1,0,125,-68,80,80
,Random,355,1,0,-64,-65,100,100
,Random,356,1,0,35,-80,80,80
,Random,357,1,0,-26,-30,100,100
,Random,358,1,0,57,120,0,0
,Random,359,1,0,81,-46,80,80
,Random,360,1,0,76,29,0,0
,Random,361,1,0,85,-113,0,0
,Random,362,1,0,-39,9,37,37
,Random,363,1,0,109,-18,80,80
,Random,364,1,0,81,-3,50,50
,Random,365,1,0,73,123,0,0
,Random,366,1,0,117,-80,80,80
,Random,367,1,0,-128,-1,0,0
,Random,368,1,0,15,-29,76,76
,Random,369,1,0,3,120,0,0
,Random,370,1,0,-120,-99,100,100
,Random,371,1,0,88,-94,80,80
,Random,372,1,0,-100,-51,100,100
,Random,373,1,0,59,-101,0,0
,Random,374,1,0,-85,59,30,30
,Random,375,1,0,-101,-94,100,100
,Random,376,1,0,-115,-46,100,100
,Random,377,1,0,104,-5,50,50
,Random,378,1,0,-114,-64,100,100
,Random,379,1,0,127,-89,0,0
,Random,380,1,0,-44,-108,0,0
,Random,381,1,0,113,-21,80,80
,Random,382,1,0,72,-39,80,80
,Random,383,1,0,49,-21,80,80
,Random,384,1,0,-101,-61,100,100
,Random,385,1,0,85,1,50,50
,Random,386,1,0,-84,-29,100,100
,Random,387,1,0,-113,76,0,0
,Random,388,1,0,-62,68,0,0
,Random,389,1,0,-79,112,0,0
,Random,390,1,0,115,-36,80,80
,Random,391,1,0,8,-127,0,0
,Random,392,1,0,-92,70,0,0
,Random,393,1,0,-14,38,34,34
,Random,394,1,0,33,115,0,0
,Random,395,1,0,-52,88,0,0
,Random,396,1,0,-18,6,48,48
,Random,397,1,0,-87,-34,100,100
,Random,398,1,0,-51,-74,100,100
,Random,399,1,0,115,99,0,0
,Random,400,1,0,-52,-45,100,100
,Random,401,1,0,-35,64,0,0
,Random,402,1,0,-80,-1,50,50
,Random,403,1,0,107,-88,80,80
,Random,404,1,0,111,88,0,0
,Random,405,1,0,-30,-111,0,0
,Random,406,1,0,-41,53,30,30
,Random,407,1,0,104,23,0,0
,Random,408,1,0,-84,54,30,30
,Random,409,1,0,124,84,0,0
,Random,410,1,0,-85,47,30,30
,Random,411,1,0,-35,15,30,30
,Random,412,1,0,126,-34,80,80
,Random,413,1,0,82,72,0,0
,Random,414,1,0,42,-13,80,80
,Random,415,1,0,18,62,0,0
,Random,416,1,0,-80,-61,100,100
,Random,417,1,0,-126,73,0,0
,Random,418,1,0,58,74,0,0
,Random,419,1,0,16,-59,80,80
,Random,420,1,0,-13,-126,0,0
,Random,421,1,0,-76,-54,100,100
,Random,422,1,0,-89,-68,100,100
,Random,423,1,0,88,85,0,0
,Random,424,1,0,-10,91,0,0
,Random,425,1,0,-89,28,30,30
,Random,426,1,0,-10,-113,0,0
,Random,427,1,0,68,77,0,0
,Random,428,1,0,-39,-22,100,100
,Random,429,1,0,22,-93,80,80
,Random,430,1,0,-99,-71,100,100
,Random,431,1,0,100,13,0,0
,Random,432,1,0,79,-102,0,0
,Random,433,1,0,107,25,0,0
,Random,434,1,0,-113,-107,0,0
,Random,435,1,0,-13,-107,0,0
,Random,436,1,0,84,-79,80,80
,Random,437,1,0,70,-23,80,80
,Random,438,1,0,-89,-108,0,0
,Random,439,1,0,89,115,0,0
,Random,440,1,0,33,21,0,0
,Random,441,1,0,-79,-72,100,100
,Random,442,1,0,3,112,0,0
,Random,443,1,0,-114,118,0,0
,Random,444,1,0,34,-128,0,0
,Random,445,1,0,49,-75,80,80
,Random,446,1,0,97,57,0,0
,Random,447,1,0,-33,20,30,30
,Random,448,1,0,67,21,0,0
,Random,449,1,0,-112,91,0,0
,Random,450,1,0,-124,-120,0,0
,Random,451,1,0,-93,16,30,30
,Random,452,1,0,-70,59,30,30
,Random,453,1,0,11,-61,66,66
,Random,454,1,0,19,-53,80,80
,Random,455,1,0,75,34,0,0
,Random,456,1,0,-38,-65,100,100
,Random,457,1,0,111,9,17,17
,Random,458,1,0,104,119,0,0
,Random,459,1,0,94,72,0,0
,Random,460,1,0,-96,33,30,30
,Random,461,1,0,-106,75,0,0
,Random,462,1,0,-12,-5,50,50
,Random,463,1,0,7,-71,58,58
,Random,464,1,0,-112,-22,100,100
,Random,465,1,0,13,87,0,0
,Random,466,1,0,-127,-97,100,100
,Random,467,1,0,36,-52,80,80
,Random,468,1,0,-107,7,45,45
,Random,469,1,0,-125,-27,100,100
,Random,470,1,0,45,124,0,0
,Random,471,1,0,-127,-75,100,100
,Random,472,1,0,4,-91,62,62
,Random,473,1,0,89,-18,80,80
,Random,474,1,0,-118,98,0,0
,Random,475,1,0,-75,-24,100,100
,Random,476,1,0,-15,-18,94,94
,Random,477,1,0,70,-111,0,0
,Random,478,1,0,72,50,0,0
,Random,479,1,0,120,15,0,0
,Random,480,1,0,52,-29,80,80
,Random,481,1,0,-78,67,0,0
,Random,482,1,0,-30,-24,100,100
,Random,483,1,0,-25,117,0,0
,Random,484,1,0,-69,-32,100,100
,Random,485,1,0,126,39,0,0
,Random,486,1,0,-67,-125,0,0
,Random,487,1,0,-107,62,0,0
,Random,488,1,0,-101,-76,100,100
,Random,489,1,0,-70,-94,100,100
,Random,490,1,0,-116,13,30,30
,Random,491,1,0,-11,89,0,0
,Random,492,1,0,-9,-63,70,70
,Random,493,1,0,-18,43,30,30
,Random,494,1,0,107,30,0,0
,Random,495,1,0,23,70,0,0
,Random,496,1,0,-73,66,0,0
,Random,497,1,0,-25,-48,100,100
,Random,498,1,0,5,-25,56,56
,Random,499,1,0,-77,-96,100,100
,Random,500,1,0,41,111,0,0
,Random,501,1,0,97,13,0,0
,Random,502,1,0,-9,-116,0,0
,Random,503,1,0,-68,54,30,30
,Random,504,1,0,-32,-29,100,100
,Random,505,1,0,-97,-32,100,100
,Random,506,1,0,-67,-72,100,100
,Random,507,1,0,101,57,0,0
,Random,508,1,0,36,-122,0,0
,Random,509,1,0,10,34,27,27
,Random,510,1,0,74,-49,80,80
,Random,511,1,0,-71,-15,100,100
,Random,512,1,0,5,98,0,0
,Random,513,1,0,-75,127,0,0
